,text,label
28,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",0
29,Youth unemployment in minority communities is about 40 to 45 percent.,1
30,Says Paul Ryan is still endorsing Trump.,1
31,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0
32,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0
33,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,1
34,Says Mark Pryor votes with Obama 93 percent of the time.,1
35,We have a federal government that thinks they have the authority to regulate our toilet seats.,1
36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,1
37,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",1
38,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",0
39,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",1
40,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,0
41,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,1
42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",0
43,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,0
44,"""We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' """,0
45,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,1
46,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",0
47,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,0
48,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,0
49,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,1
50,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0
51,"Maggie Hassan raised tuition, making it the highest in America.",0
52,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,0
53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",1
54,"We have towns in West Texas that are out of water, that are having to truck in water.",0
55,"In Georgia, women earn 82 cents for every dollar earned by men.",1
56,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,1
57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",0
58,"""Sen. Obama's campaign announced that he's choosing his cabinet.""",0
59,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",1
60,Only 2 percent of public high schools in the country offer PE classes.,0
61,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",1
62,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",1
63,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",1
64,"Under Mayor Cicilline, [Providence] was a sanctuary city.",0
65,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,0
66,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",1
67,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",0
68,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,0
69,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,0
70,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",1
71,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",0
72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1
73,The only time in our history when the debt has been higher than this was the end of World War II.,1
74,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,1
75,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1
76,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,0
77,Says one out of three U.S. homeless men is a veteran.,0
78,Says Charlie Crist supports cuts to the Medicare Advantage program.,0
79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,1
80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,1
81,"At some point in their lives, 99% of women use birth control.",1
82,"In the past 20 years, Egypt has made great strides in political and democratic reform.",0
83,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,0
84,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,1
85,"In Rick Perrys Texas, we import nurses ... from other countries.",1
86,There is a federal criminal law that says its a crime to transport dentures across state lines.,1
87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,1
88,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",0
89,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,0
90,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",0
91,I belong to the AFL-CIO.,1
92,The insurance commissioner cant do squat about health care.,1
93,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,1
94,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",0
95,Says David Jolly supports privatizing Social Security.,0
96,Did you know US population growth is at its lowest since the Great Depression?,1
97,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",1
98,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",1
99,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,1
100,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,0
101,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",0
102,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",1
103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",1
104,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0
105,"""Sen. Obama has always had a 100 percent prochoice rating.""",1
106,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",1
107,The (federal) debt is growing by more than $4 billion a day.,1
108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",1
109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",0
110,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,1
111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",1
112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",1
113,Says Obama promised unemployment would never go above 8 percent.,0
114,The economy is creating jobs at the fastest pace since 1999.,1
115,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,1
116,"In a majority of states, you can now marry freely, but can still be fired for who you love.",1
117,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,0
118,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",0
119,"About half of the presidents have been governors; half of them, senators.",0
120,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",1
121,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",1
122,Says 88 Texas constables have died in the line of duty.,1
123,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",1
124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",1
125,"""As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.""",1
126,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,1
127,The Air Force wants taxpayers to fund a fantasy football league.,0
128,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,0
129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,1
130,Some neighborhood schools are closing.,1
131,"""He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.""",1
132,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",1
133,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",0
134,Says the U.S. Supreme Court found that Social Security is not guaranteed.,1
135,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,0
136,Oregonians have an amazing no-cost way to fight abortion with free political donations,1
137,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",0
138,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",0
139,Newt Gingrichs immigration plan offers a new doorway to amnesty.,1
140,Mr. Caprio is a career politician who has never worked in the private sector.,0
141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",0
142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",1
143,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,1
144,Donald Trump has said nuclear proliferation is OK.,1
145,"""Hillary Clinton has taken over $800,000 from lobbyists.""",1
146,Barack Obama has never even worked in business.,0
147,Says the Arizona immigration law expressly bans racial profiling.,1
148,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,0
149,"On the VA: Over 300,000 veterans have died waiting for care.",0
150,Were now spending 42 percent of our economy on government.,1
151,Rob Cornilles supports privatizing Medicare.,0
152,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",0
153,We (Democrats) have made steady progress creating jobs and improving our schools.,1
154,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,0
155,"Whether you like to admit it or not, half our general revenue goes to education.",1
156,Im the only one whos fought against developers draining the Everglades!,0
157,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,1
158,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",1
159,Climate change is directly related to the growth of terrorism.,0
160,The jobs bill includes President Obamas tax on soup kitchens,0
161,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,0
162,"""While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.""",1
163,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",1
164,We have more illegal immigrants here than we did five years ago.,0
165,Says Rick Perry wrote a letter supporting Hillarycare.,0
166,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,0
167,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",0
168,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,1
169,Says Chris Christie vetoed a jobs package of 30 bills.,1
170,There are already more American jobs in the solar industry than in coal mining.,1
171,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,1
172,Barack Obama is in an economy thats only worsened since hes been president of the United States.,1
173,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",1
174,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",1
175,Says Thomas Eric Duncan came into the United States with an elevated temperature.,0
176,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,1
177,Gas prices have gone up $2 since Obama took office.,1
178,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,1
179,Says judges get better benefits at a lower cost than everybody else in the state.,1
180,There are a lot of casinos across the country that have gone bankrupt.,1
181,Small businesses create 70 percent of the jobs in America.,1
182,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",1
183,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",1
184,If Texas were a country our economy would rank # 10...in the WORLD.,1
185,There are more oil rigs in operation in the United States than the rest of the world combined.,0
186,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",1
187,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",1
188,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,1
189,The Obama administration shut down the Amber Alert program because of the government shutdown.,0
190,The Republicans have 2 percent of the Muslim vote.,1
191,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",1
192,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",0
193,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",1
194,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",1
195,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,1
196,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",0
197,Not one Republican has the guts to recognize that climate change is real.,0
198,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",1
199,David Dewhurst has a record of promoting an income tax.,0
200,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,1
201,"""In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.""",0
202,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",0
203,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,0
204,Says Obama health reform law denies millions access to affordable insurance.,0
205,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,0
206,Close to 30% of our federal prison population consists of illegal immigrants.,0
207,Says Rick Scott called education not a core function of the state.,0
208,"The Family Research Council, according to some government agencies, is a terrorist group.",0
209,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",1
210,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,1
211,Obamacare is the biggest tax increase in American history.,0
212,"""You ... said that Barack Obama was not ready to be commander in chief.""",1
213,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",1
214,Milwaukee Mayor Tom Barrett has held the line on property taxes.,0
215,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,1
216,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",1
217,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,0
218,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",1
219,On how money from a possible lease of the Ohio Turnpike would be used,1
220,"""At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.""",1
221,"The president has had 1,540 of his nominations confirmed, only four defeated.",1
222,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,1
223,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",0
224,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,1
225,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",1
226,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",1
227,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,0
228,"""One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.""",1
229,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",1
230,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",1
231,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",1
232,The Paul Ryan budget proposal would privatize Medicare.,1
233,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,1
234,The United States imprisons more than any nation in the world.,1
235,Says Marco Rubio is the one for an open border.,0
236,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",1
237,Says cuts to Medicare affect people who have already paid in. We paid for it.,0
238,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,0
239,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,1
240,Providences port is 200 miles closer to Europe than any other Eastern port.,0
241,Says you need a photo ID to purchase Sudafed in Texas.,1
242,Twenty percent of housing in Portlands Pearl District is affordable.,1
243,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",1
244,"""Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.""",1
245,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,1
246,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",1
247,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,0
248,We now have driven (health care) costs down to the lowest theyve been in 50 years.,0
249,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",1
250,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",1
251,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",1
252,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",1
253,"""Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.""",0
254,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,0
255,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,1
256,Warren (Buffett) still does support me.,1
257,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,1
258,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,0
259,"About 230,000 people that were on unemployment when I took office are not on unemployment now.",1
260,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",0
261,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,0
262,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,0
263,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",1
264,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,0
265,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",0
266,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",0
267,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",1
268,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",1
269,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,1
270,On legalizing illegal immigrants.,1
271,Nearly half of all pregnancies in the U.S. are unintended.,1
272,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",1
273,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",1
274,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",1
275,The top 1 percent pay over half of the entire revenue for this country.,0
276,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,0
277,Chris Christie has not increased the taxes on anyone.,1
278,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,0
279,Says he never said he would keep education funding the same.,0
280,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",1
281,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",1
282,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",1
283,"""(Palin) supported right-wing extremist Pat Buchanan for president in 2000.""",0
284,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,0
285,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,0
286,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",1
287,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,1
288,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",0
289,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",0
290,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,0
291,"""I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.""",1
292,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",1
293,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,0
294,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",0
295,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",0
296,Texas this fiscal year will have more money in reserve than the other 49 states combined.,0
297,On using the Strategic Petroleum Reserve.,0
298,Immigrants are more fertile.,1
299,"The proposed education changes ""will not cut one teacher's pay.""",1
300,"""The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.""",0
301,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,1
302,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,0
303,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,0
304,"""If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.""",1
305,"Says Scott Walker wants to ban common forms of birth control, including the pill.",1
306,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,0
307,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",1
308,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",1
309,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,1
310,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",1
311,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,0
312,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,0
313,"""There are mechanisms in place to shut down the Internet privately.""",1
314,The American people support defunding Obamacare and oppose shutting down the government.,0
315,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,1
316,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",1
317,The people of Rhode Island dont want same-sex marriage.,0
318,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",1
319,This year in Congress (Connie Mack IV) has missed almost half of his votes.,0
320,"1/3 of our kids drop out (of high school), cannot go to college or start a career.",0
321,Not even old Gen. Eisenhower saluted military personnel as president.,0
322,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",1
323,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",0
324,74 percent of Republicans support the Affordable Care Act.,0
325,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",1
326,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",1
327,Says Alex Sink failed Florida homeowners by using predatory lending practices.,0
328,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,0
329,You cant check out a library book without a photo ID.,0
330,Says that Starbucks took Christmas off of their brand new cups.,0
331,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,1
332,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",0
333,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",1
334,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",1
335,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,1
336,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",1
337,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",1
338,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",1
339,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,1
340,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,1
341,"We are younger than our competitors, and this is entirely because of immigration.",1
342,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,1
343,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",1
344,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",1
345,Says he raised average family income by 50 percent during his tenure as Arkansas governor.,0
346,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,1
