,text,Type
14040,TRUMP’S GOT ‘EM ON THE RUN: Rhode Island Supporters Chase After Trump Caravan [Video]. Donald Trump was in Rhode Island yesterday for a rally and his arrival sent grown men and women into a frenzy. The supporters started chasing his bus to get an up close and personal view. When have you ever seen grown men and women running towards a politician? This is unreal! ,0
15886," Apple CEO Tim Cook, himself a gay man, published an op-ed in The Washington Post with this ominous title:  Pro-discrimination laws are dangerous . Cook argues that religious freedom laws, like the one signed by Gov. Mike Pence of Indiana last week, are dangerous to gay people . That s why you might be surprised to learn that Cook s company, Apple, does business in four (4) countries that make homosexuality a capital crime .",0
21865," EMILY s List, the nation’s largest resource for women in politics, endorsed Hillary Clinton for president . Hillary Clinton has devoted her entire career to fighting for women and families (supporting the killing of unborn babies) If elected, Hillary will create more opportunities than ever for women, girls, and for all hardworking Americans across the country .",0
6955," Peace House, a media, art and activism group, sent a few Muslims undercover to a Donald Trump rally, where they acted like Trump supporters to get to know the supporters . The video has already racked up over 8 million views in around 24 hours, and the response has been overwhelmingly positive . Peace House reached out to Mr. Trump on Twitter to send the message directly to him .",0
2175," Kim Weaver is running against Rep. Steve King in Iowa's 4th Congressional District in 2018 . Weaver is a single mother of three young adults and advocates college affordability and care for seniors . King has won time and time again in the 4th District in Iowa, even winning again this past November for an eighth time .",0
7334,"Trump and Obama set campaign rancor aside with White House meeting. WASHINGTON (Reuters) - U.S. President Barack Obama and President-elect Donald Trump met on Thursday for the first time, setting aside the deep rancor that dominated the long campaign season to discuss the transition to the Republican’s inauguration on Jan. 20. Their 90-minute meeting in the White House Oval Office, with no aides present, took place just two days after Trump’s stunning election victory over Hillary Clinton, Obama’s former secretary of state. Obama, who vigorously campaigned for his fellow Democrat to succeed him, had repeatedly called Trump unfit for the president’s office, while the businessman had often dubbed Obama’s eight-year tenure a “disaster.” But in separate post-election remarks on Wednesday, both men appeared to seek to help the country heal from a bitterly divisive campaign, and that tone continued into the White House meeting. Seated next to Obama after their talks, Trump told reporters: “We really discussed a lot of situations, some wonderful, some difficulties.” He said Obama explained “some of the really great things that have been achieved,” but did not elaborate. “It was a great honor being with you and I look forward to being with you",1
9763," Hayley Geftman-Gold, a professional, a wife, and a mother of 3 young children, is a perfect example of someone most people would tend to think has it all, but in reality, she is the poster child, for all that is wrong with the intolerant, and hate-filled left . CBS has parted ways with one of the company's top lawyers after she said she is not even sympathetic to victims of the Las Vegas shooting because country music fans often are Republican .",0
7696," Lunatic Right-Winger Uses Girl Scout Cookies As Reason To End Laws Against Child Labor . Author of The Federalist says selling cookies is no more offensive than 10-year-olds working in steel mills, or coal mines, for 10 or more hours per day, 7 days a week . Author then complains about the fact the government has outlawed every meaningful kind of occupation for children younger than 14 .",0
22197,"Should We Worry About McMaster as Trump’s National Security Advisor?. 21st Century Wire says Is McMaster going to reignite tensions with Russia?In the follow video Stuart J. Hooper asks if we should be worried about General McMaster replacing General Flynn as Trump s National Security Advisor.While Flynn understood that Russia has a sphere of influence in the world that the US should be wary of encroaching upon, McMaster is the author of a report entitled  The Russia New Generation Warfare Study , which is,  is intended to ignite a wholesale rethinking and possibly even a redesign of the Army in the event it has to confront the Russians in Eastern Europe .Watch the report video here: READ MORE TRUMP NEWS AT: 21st Century Wire Trump FilesSUPPORT 21WIRE  SUBSCRIBE & BECOME A MEMBER @21WIRE.TV",0
621, Sen. John McCain is fed up with Donald Trump's bluster and bravado regarding nuclear war . The Arizona Republican said he doesn't know what the hell Trump is talking about anymore . He advised Trump to familiarize himself with Teddy Roosevelt's big stick policy . Trump has been playing a dangerous game with North Korean dictator Kim Jong Un .,0
15803,"A century on, UK's Jewish homeland declaration stirs celebration and mourning in Middle East. LONDON/JERUSALEM (Reuters) - In a 67-word statement composed 100 years ago, Britain endorsed the establishment of a Jewish homeland in the Middle East, triggering a process that would culminate in the creation of Israel - and with it one of the world s most intractable conflicts. On Thursday, British and Israeli leaders commemorated the centenary of that statement, known as the Balfour Declaration after the foreign minister who penned it, with a banquet in the gilded halls of London s Lancaster House mansion. But as Prime Minister Theresa May and Israel s Benjamin Netanyahu dine, protesters gathered to demand that Britain acknowledge the suffering they say the declaration has caused to Palestinian people, and recognize their claim to statehood. The reason it is getting so much attention is because the conflict which it launched ... is still very much in existence and there is a sense, particularly on the Palestinian side, of continuing injustice, said Ian Black, an academic at the London School of Economics. It really is an issue which is alive and toxic and bitterly divisive. While Israel reveres Arthur Balfour, naming streets",1
1660, Fox News host Jesse Watters took a vacation after making a crude oral sex joke about Ivanka Trump on the air . Watters was only on his third day on the job as a full-time host of The Five . He complained about liberals attacking Ivanka Trump for hypocritically talking about empowerment of women . Now Watters is going on vacation for the rest of the week .,0
20029,"Japan foreign minister thinks North Korea missile was ICBM: NHK. TOKYO (Reuters) - Japanese Foreign Minister Taro Kono said he thinks the missile that North Korea fired on Friday was an intercontinental ballistic missile (ICBM), given its firing range, public broadcaster NHK reported. North Korea fired a missile on Friday that flew over Japan s northern Hokkaido far out into the Pacific Ocean, South Korean and Japanese officials said, further ratcheting up tensions after Pyongyang s recent test of a powerful nuclear bomb. ",1
15427,"(VIDEO) HYSTERICAL SLAP DOWN OF MSNBC REPORTER BY DONALD TRUMP.  NO, NO. YOU RE FINISHED  ",0
12588," China's graft watchdog warns officials over 'concealed' extravagance . President Xi Jinping has waged a five-year war on graft at all levels of the ruling Communist Party . He has pledged to keep up the fight until officials dare not, cannot and do not want to be corrupt .",1
14504,"Brazil speaker says pension overhaul in danger if left until 2018. BRASILIA (Reuters) - The Brazilian government s plan to overhaul the costly pension system will be in trouble if it does not clear the lower house of Congress this year, and it still lacks the votes needed for approval, the Speaker Rodrigo Maia said on Friday. Maia told Reuters that cabinet changes by President Michel Temer benefiting coalition allies should make it clear by next week whether the government can muster the two-thirds super majority of votes needed to pass pension reform in the house.  They don t have the votes yet ... if the bill is left for next year it will be hard to pass,  he said in an interview. ",1
2764," Gregg Phillips is registered to vote in Alabama, Texas, and Mississippi . The AP found that all three of these registrations had identical Social Security numbers . This makes it harder to claim that these registrations are to three different people who all happen to have the same name . Phillips is on Twitter now, pretending that it s voter fraud in every case except for his .",0
8573," Clinton says Russia behind DNC hacking, draws line to Trump's overtures to Putin . Republican presidential nominee has praised Putin, saying he was a stronger leader than President Obama . Clinton: Trump's ""absolute allegiance to a lot of Russian wish-list foreign policy positions"" is among the reasons he is unfit to be commander in chief . WikiLeaks founder Julian Assange refuses to answer questions about whether foreign government leaked emails .",1
8973," U.S. presidential candidate Donald Trump plays down post-Brexit market turmoil on Aberdeen visit . Global stock markets lost about $2 trillion in value on Friday after the vote to leave the EU . Trump was greeted by around a dozen protesters at the course waving Mexican flags, rainbow flags for Gay Pride day and signs that read “Donald stop the hating”",1
4384,"Germany says U.S. informed it of missile strikes shortly before launch. BERLIN (Reuters) - The United States informed Germany shortly before it launched missile strikes on a Syrian airbase from which Washington said a deadly chemical weapons attack had been launched this week, a German government spokesman said on Friday. “The U.S. government informed the chancellery and defense minister during the night,” German government spokesman Steffen Seibert told a regular news conference. A spokesman for the defense ministry added: “The defense minister was informed about the strikes by her American colleague James Mattis shortly beforehand.” A spokesman for Germany’s Foreign Ministry said the United States had given Berlin the impression during the contact overnight that this was a targeted and limited attack.  ",1
11617," Judicial Watch releases new State Department documents related to Benghazi terrorist attack on September 11, 2012 . Obama administration knew the day after the attack it was not a random act of violence stemming from an anti-Muslim video . That was the excuse shamefully propagated by top Obama administration officials (including the president himself) and swallowed whole by a media establishment desperate to help Obama win re-election six weeks later .",0
18131," Saudi Arabia says U.N. report on Yemen 'inaccurate and misleading' 683 children were killed or injured in Yemen in 2016, report says . Saudi-led coalition had been briefly added to blacklist last year . Yemen has been devastated by more than two years of civil war in which President Abd-Rabu Mansour Hadi s government is fighting Houthis .",1
15265,HYSTERICAL! WATCH WOMAN CHECK TRUMP’S HAIR TO CONFIRM IT’S NOT A TOUPEE. A Latino radio host gave Trump a nickname of  The Man with the Toupee  and Trump was not having any of it. He was holding a rally in South Carolina and invited a woman onstage to inspect his hair. Too funny! ,0
10482, Ana Navarro becomes totally unhinged in an attack on president Trump and one of his advisers . The irony is that she speaks in hateful terms of Trump while claiming he s going to cause someone to harm the news media . That s pretty funny since she said nothing when a play depicting Trump being assassinated was all over the news and that Kathy Griffin beheaded Trump too! This woman is supposed to be a Republican strategist?,0
15403,"[VIDEO] OBAMA TELLS HOMETOWN KENYANS: “I’m A Pretty Good President, And If I Ran For A Third Term, I Could Win”. We re not sure what s funnier, the fact that he talks about being a  pretty good president  or that he actually thinks anyone believes him when he says he can t run again because the Constitution prohibits it, saying: the law s the law.  When did this  President  ever let a little thing like the Constitution or the law get in the way of his agenda?",0
19691, Chris Matthews does a stunning 180 on his support for Hillary and boldly calls out any person who is still planning to support her . He accuses her supporters of being  too dainty  to stand up for America . Former Democratic pollster for Hillary makes a stunning admission to Fox News host Harris Faulkner that he won't support Hillary .,0
7482," Governor Chris Christie is ignoring his duties as Governor to be a full-time surrogate for Donald Trumps  presidential campaign . Lt. Gov. Kim Guadagno attended the funeral of 31-year-old New Jersey State Trooper Sean Cullen, who was killed in the line of duty last week after being struck by a vehicle .",0
12070,KELLYANNE CONWAY On Trump’s Terrorism Policy: We need “more careful and extreme vetting” [Video]. https://www.youtube.com/watch?v=0cVugq2GbBk,0
18087," Danish divers find missing body parts of Swedish journalist Kim Wall . Peter Madsen has been charged with killing the Swedish journalist who disappeared after she went on a trip with him in his submarine . Madsen, a Dane, was arrested after his submarine sank and he was rescued . The body parts, a knife and some of Wall s clothes were found in Koge Bay on Friday by Danish navy divers .",1
16127," Russian-backed Syria congress may happen next month, focus on constitution: RIA . Congress may take place in mid-November at Russia s  Black Sea resort of Sochi, RIA says . Senior Russian negotiator on Syria says idea of congress had U.N. backing . Russia, Turkey and Iran are holding seventh round of talks on Syria in Astana, capital of Kazakhstan .",1
16862, Iran unveils second underground missile depot capable of carrying a nuclear warhead . U.S. officials say Washington will respond to the Emad tests with fresh sanctions against Iranian individuals and businesses linked to the program . The United States and European Union plan to dismantle nearly all international sanctions against Tehran under the nuclear deal .,0
12164,"KELLYANNE CONWAY: “I’m not a sore winner, I’m a winner! My guy is a winner! He’s the next president!”. AWESOME! @KellyannePolls : I m Not A Sore Winner,I m A Winner!Our Champion is @realDonaldTrump President of the United States!fair & square! pic.twitter.com/sKyfux86KI  TRUMP ANOMALY (@ANOMALY1) December 11, 2016",0
12050," Honduran helicopter crash kills six, including president's sister . Hilda Hernandez, 51, was a close advisor to her brother, who is embroiled in political turmoil . The remains of the aircraft were located and no survivors were found, the Honduran armed forces said . Honduras has been roiled by political instability following the presidential election .",1
1478," Sen. Lindsey Graham praised the amateur president on Saturday as a leader who is open-minded and willing to reach out for help, even late at night . Graham then went to on to disrespect former President Barack Obama by calling him a community organizer who apologized for America every turn . He said that of Obama who had 20 years of experience under his belt before taking the job as President while praising a former reality show star who had zero experience in politics .",0
9830, Megyn Kelly went on The Ellen DeGeneres Show to explain her exit from Fox News . Kelly claims she was never a political person before leaving Fox News for a new morning show . She blames President Trump for her decision to accept $17 million from NBC to move to fluff journalism . Ellen Degeneres only appeared to laugh twice during the entire segment .,0
6967, Ken Paxton is already facing charges of securities fraud in one case . He is accused of illegally keeping it a secret that he would be directly benefiting from these deals . Paxton claims God gave him illegal stock shares at Dairy Queen fair and square . The attorney general says God told him not to accept a penny for shares .,0
21128,"Tropical Storm Lidia leaves seven dead in Mexico's Baja California peninsula. MEXICO CITY (Reuters) - Tropical Storm Lidia s death toll rose to at least seven people, including two children, as the storm doused various states in Mexico with heavy rain on Saturday and left a severe trail of damage in the Baja California peninsula, authorities said. The victims were either electrocuted or drowned while trying to cross streams, according to a report from the prosecutor s office in the state of Baja California Sur, home to the tourist area Los Cabos, that was cited by local media. The storm, which continued to churn through various states, particularly in Western Mexico, also cut off power and damaged homes and roads in Baja California Sur, where some 3,000 people were taken to shelter.  Lidia was located 110 kilometers north of Punta Eugenia, moving at a speed of 19 kilometers per hour to the northeast with maximum sustained winds of 65 kilometers per hour, the National Hurricane Center in the U.S. said. ",1
10894," Obama asks for $19 billion for cyber security across the U.S. government, an increase of $5 billion over this year . Director of national intelligence: Cyber threats could lead to widespread vulnerabilities in civilian infrastructures . Cyber threats are “among the most urgent dangers to America’s economic and national security,” Obama says in an op-ed .",1
7642," The last GOP debate showed Republican presidential candidates Marco Rubio and Ted Cruz ganging up on disgraced front runner Donald Trump . The two candidates made fun of Trump s ability to do yoga, considering how flexible he is on issues and policies . Now, Cruz and Rubio are piggy-backing off this comedic moment to boost their fundraising efforts .",0
1116," Virginia governor's race is seen as a bellwether for next year's midterms . Democrat Ralph Northam is running against Ed Gillespie, former chairman of the Republican National Committee . Northam, a moderate lieutenant governor with a low-key campaign style, is on the front lines of his party's search for a strategy to exploit Trump's unpopularity . Gillespie's campaign declined to comment about Trump’s impact on the race .",1
17763," Turkey's Erdogan gets warm welcome in mainly Muslim Serbian town of Novi Pazar . Erdogan hopes to boost Turkey s economic and cultural influence in the Balkan region . Turkish influence is already strong among fellow Muslims in Bosnia, Albania and Kosovo . Serbian President Aleksandar Vucic standing close by .",1
17937," MSNBC anchor Lawrence O Donnell had a really bad night on August 29, 2017 . The MSNBC anchor fuming about earpiece malfunctions, blasting off obscenities and screaming at his staff . The video, which lasts a full eight minutes, is a collection of clips from one evening .",0
4249," 'Apprentice' contestants have spoken out about how Donald Trump treated them on the set of the reality TV show . A camera operator said that while Trump was a host on the show, the business mogul would regularly make women feel uncomfortable with what he called  borderline sexual misconduct . Dr. Randal Pinkett, the 2005 Apprentice winner, has also spoken out against Trump to confirm that he is a misogynist and racist .",0
16179,TRUMP CABINET MEMBER MICK MULVANEY ON DC: “This place is much more rotten than we thought” [Video]. https://www.youtube.com/watch?time_continue=2&v=IjWClQcKhD8,0
5484,"Burlington to drop Ivanka Trump brand online: Business Insider. (Reuters) - Burlington Stores Inc joined other retailers, including Nordstrom Inc, in deciding not to sell products of Ivanka Trump’s brand online, news website Business Insider reported. Burlington will no longer stock the brand’s accessories and clothing online, according to the report, but it was unclear if the off-price retailer would sell the products in its stores.  Burlington and Ivanka Trump’s representatives were not immediately available for comment. Earlier this month, Nordstrom said it would stop carrying Ivanka Trump’s apparel because of falling sales, pushing President Donald Trump to defend his daughter on Twitter by saying she was treated “unfairly” by the retailer. Neiman Marcus [NMRCUS.UL] has also said it would not sell Ivanka Trump’s jewelry line while TJX Cos Inc told its employees to dump any signs related to the brand. HSN Inc has stopped selling Trump Home products, but still sells Trump presidential memorabilia. Sears Holdings and its unit, Kmart, had also removed 31 Trump Home items from their online product offerings to focus on more profitable items this month. ",1
2833," Mexican President Enrique Pe a Nieto was scheduled to meet with President Donald Trump on January 31 . Nieto tweeted that he will not attend the meeting scheduled for next Tuesday . Trump tweeted that Mexico should cancel the meeting if they refuse to pay for the wall . The cancellation is unsurprising, following Trump s decision to move forward with his stupid f*cking wall and his claim that Mexico will somehow pay for it .",0
9983," California to hike funds for new parents on family leave . State law aims to help more people take family leave, especially poorer Californians . Money for the program will come through the state’s disability insurance system . Costs are projected at up to $587 million annually when it is fully implemented by 2021 .",1
5186, Vice President Mike Pence says Trump plans to finalize a new order limiting travel to the United States in the coming days . Senior U.S. administration officials have lobbied Trump to remove Iraq from a list of seven Muslim-majority nations included in an initial travel ban . The White House tells a government watchdog agency that Kellyanne Conway acted “inadvertently” when she publicly endorsed the clothing and jewelry line of Trump’s daughter Ivanka .,1
10002," A third of Republican voters who support Donald Trump could turn their backs on their party in November’s presidential election if he is denied the nomination in a contested convention, according to a Reuters/Ipsos poll . The results suggest that an alternative Republican nominee for the Nov. 8 presidential race would have a tougher road against the Democrats . Trump has topped the national polls throughout most of the race for the Republican nomination, and has won more delegates than any other Republican .",1
15797,"PULITZER PRIZE WINNING AUTHOR TONI MORRISON: “I want to see a cop shoot a white unarmed teenager in the back”. The recipient of the Presidential Medal of Freedom from Barack Obama in 2012 had this to say when asked about racism: And I want to see a white man convicted for raping a black woman. Then when you ask me, Is it over? , I will say yes. Age hasn t dimmed the fire in Toni Morrison, 84. The unwavering voice of black America talks about her latest novel and what it will take for racism to be a thing of the past.Toni Morrison is, without a doubt, a world-class novelist. Her work as an editor, however, has received much less attention. Morrison worked at Random House for 20 years, leaving in 1983, just before she set out to write her Pulitzer Prize-winning novel Beloved.At her apartment in lower Manhattan, I ask her about the ways in which American literature has changed, and she volunteers that she had something to do with that . But she is not referring to her own fiction. I said, I can t march, I have small children, she tells me. I m not",0
2337," Three top Democratic senators urge U.S. President Donald Trump to stand up to China as he prepares to launch an inquiry into Beijing’s intellectual property and trade practices in coming days . Tensions between Washington and Beijing have escalated in recent months as Trump has pressed China to cut steel production to ease global oversupply and rein in North Korea's missile program . It is unclear whether such a probe would result in trade sanctions against China, which Beijing would almost certainly challenge .",1
18480," Investigators from both sides of the Atlantic struggling to decide who should lead investigation . Air France A380 forced to make emergency landing in Canada two days after engine explosion . Uncontained explosion ripped off outer-right engine s three-metre-wide fan together with its housing from front of engine . Nobody was injured in the incident, in which Air France Flight 66 was diverted to Canada .",1
7703," Trevor Noah tackled the Republican claim that Democrats are the real racists because Lincoln freed the slaves and the KKK backed Democrats for decades after the Civil War . Noah explained that while it s true that the KKK supported Democrats, the white supremacist group switched to a more welcoming Republican Party in the 1960s after Democrats began supporting and enacting policies like the Civil Rights Act .",0
3585," Mitch McConnell, the top Republican in the U.S. Senate, says he could live without drama surrounding the White House . McConnell says he and President Trump are aligned in putting overhaul of Obamacare and tax reform at the top of their agenda . The Senate majority leader is a taciturn traditionalist steeped in the ways of Washington, after more than three decades in Congress . McConnell declined to say if he had advised Trump to speak less about controversy dogging the administration .",1
7142,"Obama says not worried about being last Democratic U.S. leader for a while. LIMA (Reuters) - U.S. President Barack Obama on Sunday said he is not worried about being the last Democratic U.S. president for a while, noting democrat Hillary Clinton won the popular vote and his own approval rating remained high.  He added, however, that the Democratic Party needed to organize better and better convey its message.   ",1
5571," Talent agency WME-IMG says it is forming a national political action committee (PAC) United Talent Agency cancels Oscars party and will hold rally two days before Oscar ceremony . UTA chief executive Jeremy Zimmer: ""If our nation ceases to be the place where artists the world over can come to express themselves freely"" Oscar-nominated Iranian director Asghar Farhadi and actress Taraneh Alidoosti have said they will boycott the Academy Awards .",1
10004, Nine states where incumbent Republicans’ grip on U.S. Senate seats is tenuous will hold party primaries . Republicans seem unlikely to break with Senate Majority Leader Mitch McConnell’s hard-line stance against holding confirmation hearings or a vote on Merrick Garland . Republicans hope their candidate wins the presidency and can make the appointment . Some Democrats think McConnell's gambit gives them a campaign issue for the elections .,1
15619,"Ex-Catalan leader Puigdemont freed with conditions in Belgium. BRUSSELS (Reuters) - A Belgian judge has granted conditional release to sacked Catalan leader Carles Puigdemont and four of his ministers, and the group is scheduled to appear at court within 15 days, Belgian prosecutors said on Monday. Puigdemont, who turned himself in to Belgian police after Spain issued a European arrest warrant for rebellion and misuse of public funds, is barred from leaving Belgium without a judge s consent.  The next step in the proceedings is the appearance of the five defendants before the Chambre du Conseil within the next 15 days,  prosecutors said in a statement. ",1
18181, A controversial Refugee Dress was still being sold on the website of clothing retailer UZINYC . The brand was forced to change the name of the dress from  Refugee Dress  to  Oxford Dress . The company said it originally created the dress to draw attention to the refugee crisis . But the picture captions still label the dress as a  black refugee dress .,0
5148," A new ad from a pro-Hillary Clinton super PAC hits Donald Trump for his dishonorable attacks on the family of Captain Humayun Khan . The ad features Michelle DeFord, the mother of David Johnson, a National Guardsman who died while operating as a gunner on a Humvee in Iraq . Trump s attacks on Khan family have been widely condemned by both Democrats and Republicans .",0
861, Chicago Police Sergeant George Granias is accused of beating Patassa Johnson after she was arrested and falsely accused of driving drunk . He was found with a cache of racist websites with names like n**gadown.com and n***gaguns.com . The websites were discovered with a simple internet search of his lawyer .,0
6082, Former CIA Director Michael Hayden says Donald Trump's anti-Muslim rhetoric is actually helping ISIS . Trump s anti-Islamic rhetoric has inspired violence and harassment toward Muslims all over the United States . The former CIA director also said that the Islamic State would love it if Donald Trump was elected to lead the fight against the terrorist group .,0
4031," Trump supporters are creating fake ID badges to intimidate voters at polling places . Roger Stone's group, Vote Protectors, created an official-looking badge for its volunteers to wear, and its volunteers planned to videotape voters and conduct fake exit polls . The group, which is affiliated with top Trump ally Roger Stone, ordered the fake badges taken down .",0
13326," Sen. Tim Kaine, D-Va., drew applause Thursday at the National Urban League conference in Baltimore . Kaine wants to memorialize the 400th anniversary of the arrival of slaves at Jamestown because Black Lives Matter . The far-left candidate s remarks were part of a larger address focused on criminal justice reform and social justice .",0
10041," McConnell and Ryan are planning to pass legislation that would raise the debt ceiling and fully fund Obamacare subsidies through the 2018 election cycle, a source within the administration told TheDCNF . Leadership is also preparing to pass a short-term spending bill that would fund the government through mid-December, including no appropriations for Trump s border wall .",0
4989," Several states jointly sue to block Trump's revised travel ban on several Muslim-majority countries . Washington state, California, Maryland, Massachusetts, New York and Oregon ask a judge to stop the March 6 order from taking effect on Thursday . A more sweeping ban implemented hastily in January caused chaos and protests at airports . The Department of Justice said it was reviewing the complaint and would respond to the court .",1
21037, Turkey criticizes German 'populism' after Merkel shift on EU membership . Chancellor Angela Merkel said on Sunday it was clear Turkey should not join the EU . Erdogan spokesman: Attacks on Turkey/Erdogan are reflections of the narrowing of their horizons . Ties with Germany and several other EU states have deteriorated sharply this year .,1
10358," U.S. eases Cuba trade and travel rules ahead of Obama visit next week . New measures will allow Americans to travel more easily to Cuba independently for educational, cultural and other authorized purposes . The new rules are the latest in Obama's efforts to chip away at sanctions against America’s former Cold War foe .",1
5133," Even Fox News slammed Donald Trump's 'dangerous' claims that the election will be rigged to favor Hillary Clinton . Julie Roginsky, a crisis management firm, slammed Trump for lacking the patriotism to put his country and its institutions ahead of his own ego . Roginsky: Never in modern history has the loser of a presidential election challenged the legitimacy of our national elections .",0
992," President Donald Trump declares opioids a U.S. public health emergency . The declaration does not result in more money to combat the crisis . Some critics, including Democratic lawmakers, said the declaration was meaningless without additional funding . The announcement disappointed some advocates and experts in the addiction fight . More than 100 Americans die daily from related overdoses, according to the CDC .",1
16061,"France's Macron accepts invite to visit Russia: RIA. MOSCOW (Reuters) - French President Emmanuel Macron has accepted an invitation to visit Russia and may fly in next year for an economic forum, Russian Foreign Minister Sergei Lavrov said on Tuesday, the RIA news agency reported. RIA cited Lavrov as saying Macron might attend the annual St Petersburg International Economic Forum. ",1
19667," Russia unveils monument to designer of iconic AK-47 rifle . Mikhail Kalashnikov, who died in 2013, died aged 94 . The AK-48 is by some estimates the most lethal weapon ever made . It is also featured on the national emblems of several African nations and on that of East Timor . Military experts say it has killed more people than all other weapons taken together .",1
9688,"South Carolina Gov. Haley says 'not interested' in being vice president. WASHINGTON (Reuters) - South Carolina Governor Nikki Haley, a Republican who has been mentioned as a possible vice presidential pick, said on Wednesday she is not interested in the post but will support the party’s eventual nominee. “While I am flattered to be mentioned and proud of what that says about the great things going on in South Carolina, my plate is full and I am not interested in serving as vice president,” Haley, a popular Indian-American governor, said in a statement. ",1
17192," CBS News' Major Garrett asked President Obama if he was content with four Americans held in Iranian jails while his administration celebrated the nuclear deal . Obama bit back: ""That s nonsense and you should know better,   Nobody s  content  and our diplomats and our teams are working diligently to try to get them out""",0
12267," Rosie O Donnell tweeted out the video last week, with a caption,  Barron Trump Autistic? The video shows Barron yawning and grimacing during his father s victory speech at the RNC and on election night . The video lists a number of signs it claims points to autism, including Barron clapping without slapping his hands together .",0
